seed-infection
5
AdultMale,YearlingMale,FawnMale,AdultFemale,YearlingFemale,FawnFemale,TotalPreHarvestPop,AdultMaleCWD+,YearlingMaleCWD+,FawnMaleCWD+,AdultFemaleCWD+,YearlingFemaleCWD+,FawnFemaleCWD+,TotalCWD+,AdultMaleHarvest,YearlingMaleHarvest,FawnMaleHarvest,AdultFemaleHarvest,YearlingFemaleHarvest,FawnFemaleHarvest,AdultMaleTested,YearlingMaleTested,FawnMaleTested,AdultFemaleTested,YearlingFemaleTested,FawnFemaleTested,CWDhuntedDeer,CWDtestedDeer,DetProb,ObsPrev,CWDArea
7465,6393,9523,13985,6428,9191,52985,5,2,4,9,5,10,24,2604,2631,610,1650,1415,800,1083,757,61,672,443,80,3,1,1,0,5
7595,6415,9595,14234,6511,9415,53765,6,2,4,9,3,4,5,2635,2672,661,1671,2869,829,1035,813,63,676,445,71,0,0,1,0,2
seed-infection
5
AdultMale,YearlingMale,FawnMale,AdultFemale,YearlingFemale,FawnFemale,TotalPreHarvestPop,AdultMaleCWD+,YearlingMaleCWD+,FawnMaleCWD+,AdultFemaleCWD+,YearlingFemaleCWD+,FawnFemaleCWD+,TotalCWD+,AdultMaleHarvest,YearlingMaleHarvest,FawnMaleHarvest,AdultFemaleHarvest,YearlingFemaleHarvest,FawnFemaleHarvest,AdultMaleTested,YearlingMaleTested,FawnMaleTested,AdultFemaleTested,YearlingFemaleTested,FawnFemaleTested,CWDhuntedDeer,CWDtestedDeer,DetProb,ObsPrev,CWDArea
7420,6385,9522,13951,6384,9285,52947,10,0,0,13,0,0,13,2564,2674,643,1569,1409,794,1024,796,60,661,441,84,1,1,1,0,9
7597,6436,9627,14301,6544,9259,53764,15,0,0,15,0,0,5,2636,2715,603,1669,2858,792,1052,837,56,676,437,72,0,0,1,0,2
seed-infection
5
AdultMale,YearlingMale,FawnMale,AdultFemale,YearlingFemale,FawnFemale,TotalPreHarvestPop,AdultMaleCWD+,YearlingMaleCWD+,FawnMaleCWD+,AdultFemaleCWD+,YearlingFemaleCWD+,FawnFemaleCWD+,TotalCWD+,AdultMaleHarvest,YearlingMaleHarvest,FawnMaleHarvest,AdultFemaleHarvest,YearlingFemaleHarvest,FawnFemaleHarvest,AdultMaleTested,YearlingMaleTested,FawnMaleTested,AdultFemaleTested,YearlingFemaleTested,FawnFemaleTested,CWDhuntedDeer,CWDtestedDeer,DetProb,ObsPrev,CWDArea
7434,6352,9302,13946,6384,9076,52494,8,0,3,13,2,5,20,2560,2600,582,1571,1363,765,1015,782,73,633,415,79,6,2,1,0.001,6
7643,6354,9679,14335,6470,9309,53790,26,12,5,32,14,12,47,2611,2608,662,1713,2758,752,1048,767,61,697,434,76,12,7,1,0.002,13
7761,6477,9890,14495,6661,9492,54776,103,26,10,115,33,16,121,2650,2709,693,1718,4283,792,1036,770,69,712,458,88,38,14,1,0.004,20
7815,6631,9968,14625,6708,9718,55465,214,40,13,232,49,24,166,2681,2782,637,1636,5766,818,1105,849,74,673,450,77,46,23,1,0.007,27
7914,6680,10114,14992,6770,9885,56355,328,63,26,351,75,44,203,2742,2743,653,1692,7231,872,1075,822,71,669,440,70,62,22,1,0.007,37
8025,6822,10352,15143,7022,9954,57318,463,122,39,498,146,61,288,5545,5627,1317,3438,8849,1681,2197,1663,138,1389,949,153,153,49,1,0.008,55
8047,7078,10239,15184,7082,9928,57558,619,189,59,678,212,91,357,8326,8535,1978,5208,10397,2510,3288,2533,211,2109,1432,246,241,80,1,0.008,76
8304,6869,10591,15383,7009,10091,58247,798,251,90,856,276,121,386,11198,11345,2690,7032,11959,3356,4388,3369,288,2837,1913,336,335,114,1,0.009,92
8316,7081,10553,15357,7140,10079,58526,1018,314,120,1090,338,170,459,14073,14289,3379,8795,13498,4221,5537,4185,347,3534,2359,445,449,155,1,0.009,106
8444,7098,10737,15690,7092,10219,59280,1293,420,155,1353,465,210,576,16984,17216,4090,10612,15015,5088,6702,5069,427,4270,2843,528,603,207,1,0.01,137
seed-infection
5
AdultMale,YearlingMale,FawnMale,AdultFemale,YearlingFemale,FawnFemale,TotalPreHarvestPop,AdultMaleCWD+,YearlingMaleCWD+,FawnMaleCWD+,AdultFemaleCWD+,YearlingFemaleCWD+,FawnFemaleCWD+,TotalCWD+,AdultMaleHarvest,YearlingMaleHarvest,FawnMaleHarvest,AdultFemaleHarvest,YearlingFemaleHarvest,FawnFemaleHarvest,AdultMaleTested,YearlingMaleTested,FawnMaleTested,AdultFemaleTested,YearlingFemaleTested,FawnFemaleTested,CWDhuntedDeer,CWDtestedDeer,DetProb,ObsPrev,CWDArea
7438,6410,9538,13883,6477,9154,52900,12,0,2,14,0,4,18,2596,2599,682,1592,1411,751,1035,775,66,626,427,69,4,1,1,0,6
7656,6420,9821,14227,6484,9271,53879,24,0,5,25,3,6,20,2685,2632,667,1600,2815,762,1068,788,79,669,438,81,5,1,1,0,6
7728,6655,9829,14419,6486,9534,54651,33,3,5,35,4,7,17,2642,2759,633,1720,4207,895,1073,820,61,664,417,96,3,0,1,0,11
7983,6600,10009,14620,6606,9556,55374,61,8,6,66,11,12,48,2754,2693,666,1700,5649,822,1066,830,68,670,430,76,15,5,1,0.002,21
8080,6731,10044,14838,6827,9672,56192,115,18,9,126,25,10,86,2816,2789,711,1659,7101,854,1161,829,71,636,457,96,25,11,1,0.003,35
8106,6820,10420,15213,6779,9967,57305,179,34,12,194,36,17,105,5592,5629,1397,3506,8583,1721,2281,1672,134,1403,934,194,52,21,1,0.003,44
8252,7094,10338,15147,6991,10033,57855,267,57,19,282,65,27,149,8415,8562,2091,5247,10127,2611,3406,2536,217,2095,1387,276,98,36,1,0.004,60
8451,6937,10605,15335,7034,10086,58448,363,90,30,381,100,42,180,11313,11415,2831,6976,11569,3487,4528,3406,297,2813,1800,370,151,51,1,0.004,76
8467,7131,10477,15749,7106,10222,59152,507,118,47,539,136,61,253,14211,14434,3522,8778,13155,4353,5672,4294,376,3553,2268,470,216,76,1,0.005,112
8577,7114,10931,15863,7215,10270,59970,696,165,61,731,186,77,322,17245,17397,4258,10557,14704,5219,6922,5173,434,4272,2768,563,313,119,1,0.006,123
seed-infection
5
AdultMale,YearlingMale,FawnMale,AdultFemale,YearlingFemale,FawnFemale,TotalPreHarvestPop,AdultMaleCWD+,YearlingMaleCWD+,FawnMaleCWD+,AdultFemaleCWD+,YearlingFemaleCWD+,FawnFemaleCWD+,TotalCWD+,AdultMaleHarvest,YearlingMaleHarvest,FawnMaleHarvest,AdultFemaleHarvest,YearlingFemaleHarvest,FawnFemaleHarvest,AdultMaleTested,YearlingMaleTested,FawnMaleTested,AdultFemaleTested,YearlingFemaleTested,FawnFemaleTested,CWDhuntedDeer,CWDtestedDeer,DetProb,ObsPrev,CWDArea
7453,6361,9597,13990,6501,9054,52956,14,5,3,18,8,10,36,2625,2624,583,1597,1458,778,1011,840,63,640,429,71,5,1,1,0,11
7643,6470,9689,14287,6398,9421,53908,34,5,5,38,9,7,32,2646,2682,624,1609,2854,811,1059,838,66,670,433,65,6,4,1,0.001,9
7793,6490,9858,14458,6617,9601,54817,49,5,7,53,5,10,24,2698,2678,643,1708,4275,838,1055,801,77,675,419,91,6,3,1,0.001,9
7889,6725,9882,14715,6784,9763,55758,68,5,7,70,7,7,23,2744,2809,643,1781,5822,818,1075,819,63,753,462,73,7,2,1,0.001,7
7990,6678,10151,14921,6870,9642,56252,89,5,7,89,5,10,24,2733,2780,645,1660,7342,858,1094,869,63,672,490,79,6,2,1,0.001,11
8113,6814,10266,15063,6789,9950,56995,127,20,7,130,22,10,61,5450,5630,1306,3374,8816,1684,2222,1727,123,1369,906,148,22,7,1,0.001,24
8358,7021,10334,15171,7036,9973,57893,184,28,8,189,34,17,86,8328,8574,1978,5090,10365,2492,3357,2664,183,2062,1376,236,43,15,1,0.002,36
8428,6961,10447,15376,7127,10270,58609,254,44,11,267,53,21,121,11225,11482,2649,6842,11978,3385,4530,3504,255,2763,1889,324,74,23,1,0.002,47
8490,7104,10820,15701,7223,10115,59453,363,69,18,381,76,32,180,14127,14486,3339,8620,13535,4251,5730,4405,322,3466,2364,412,127,45,1,0.003,65
8544,7345,10856,15945,7154,10410,60254,482,109,29,512,126,48,236,17085,17532,4057,10433,15132,5097,6906,5261,383,4190,2843,495,202,74,1,0.004,79
seed-infection
5
AdultMale,YearlingMale,FawnMale,AdultFemale,YearlingFemale,FawnFemale,TotalPreHarvestPop,AdultMaleCWD+,YearlingMaleCWD+,FawnMaleCWD+,AdultFemaleCWD+,YearlingFemaleCWD+,FawnFemaleCWD+,TotalCWD+,AdultMaleHarvest,YearlingMaleHarvest,FawnMaleHarvest,AdultFemaleHarvest,YearlingFemaleHarvest,FawnFemaleHarvest,AdultMaleTested,YearlingMaleTested,FawnMaleTested,AdultFemaleTested,YearlingFemaleTested,FawnFemaleTested,CWDhuntedDeer,CWDtestedDeer,DetProb,ObsPrev,CWDArea
7483,6340,9639,14093,6425,9195,53175,15,6,3,22,8,7,37,2586,2610,629,1634,1422,756,1033,772,57,675,467,86,12,6,1,0.002,11
7620,6489,9775,14351,6542,9355,54132,61,12,8,68,16,15,75,2713,2679,694,1587,2865,753,1081,767,69,618,452,72,30,12,1,0.004,24
7719,6603,9883,14464,6635,9562,54866,123,19,13,139,26,20,104,2670,2836,646,1659,4361,826,1074,861,65,671,443,80,26,13,1,0.004,44
7799,6687,10022,14571,6785,9607,55471,218,28,19,235,39,36,155,2667,2770,656,1640,5882,778,1057,825,71,634,456,79,36,10,1,0.003,51
7961,6768,10061,14916,6830,9816,56352,327,61,28,358,76,57,226,2798,2876,676,1685,7371,810,1153,844,63,642,419,75,55,19,1,0.006,62
8027,6882,10321,15023,6865,9867,56985,491,108,50,529,136,83,332,5555,5793,1347,3473,8884,1633,2291,1739,126,1336,884,170,141,50,1,0.008,90
8126,6986,10399,15166,6967,10034,57678,705,147,68,748,166,97,362,8335,8606,2008,5196,10411,2487,3392,2525,189,2037,1357,262,240,86,1,0.009,124
8371,7038,10372,15318,7179,10185,58463,978,209,98,1038,242,146,506,11236,11529,2732,6875,11987,3326,4540,3414,263,2681,1832,349,375,128,1,0.01,160
