Year,AdultMale,YearlingMale,FawnMale,AdultFemale,YearlingFemale,FawnFemale,TotalPreHarvestPop,AdultMaleCWD,YearlingMaleCWD,FawnMaleCWD,AdultFemaleCWD,YearlingFemaleCWD,FawnFemaleCWD,TotalCWD,AdultMaleHarvest,YearlingMaleHarvest,FawnMaleHarvest,AdultFemaleHarvest,YearlingFemaleHarvest,FawnFemaleHarvest,AdultMaleTested,YearlingMaleTested,FawnMaleTested,AdultFemaleTested,YearlingFemaleTested,FawnFemaleTested,CWDhuntedDeer,CWDtestedDeer,DetProb,ObsPrev,CWDArea
1,7432,6355,9624,13982,6455,9166,53014,7,2,2,9,3,3,15,2627,2621,661,1707,1412,792,1070,785,55,663,411,70,3,1,1,0,8
2,7550,6520,9509,14173,6445,9512,53709,23,2,2,24,2,3,18,2609,2653,636,1627,2775,805,1067,803,67,660,414,61,3,2,1,0.001,11
3,7816,6323,9942,14467,6711,9346,54605,34,2,2,34,2,2,11,2697,2574,667,1649,4251,805,1106,738,78,665,445,88,3,0,1,0,4
4,7846,6629,9746,14654,6705,9801,55381,39,4,2,39,4,2,7,2742,2842,695,1658,5722,860,1072,878,58,655,412,96,2,1,1,0,3
5,7893,6505,10214,14883,6855,9584,55934,48,7,2,48,8,3,14,2684,2675,700,1724,7241,860,1095,801,57,686,479,72,2,2,1,0.001,7
6,7995,6846,10303,14944,6746,9807,56641,58,12,3,60,14,3,20,5445,5561,1374,3507,8691,1723,2184,1634,113,1385,925,169,9,4,1,0.001,9
7,8125,6905,10175,15007,6904,9949,57065,72,14,3,76,14,6,23,8224,8409,2052,5250,10220,2598,3300,2504,184,2076,1379,264,15,6,1,0.001,12
8,8395,6895,10314,15294,6950,9952,57800,85,16,3,87,18,5,21,11218,11285,2695,7081,11752,3470,4534,3401,240,2837,1830,355,19,7,1,0.001,11
9,8308,7009,10448,15381,6936,10138,58220,114,17,5,118,18,7,39,14141,14162,3451,8876,13295,4326,5696,4253,313,3585,2317,454,30,12,1,0.001,17
10,8395,7008,10741,15497,7168,9955,58764,140,17,5,142,21,9,36,17089,17077,4148,10666,14840,5225,6838,5191,408,4342,2801,537,47,20,1,0.001,11
1,7461,6431,9679,14037,6422,9337,53367,9,0,0,10,1,1,12,2556,2671,662,1657,1378,801,1010,798,65,659,407,92,0,0,0,0,8
2,7629,6471,9787,14279,6573,9303,54042,22,2,1,25,3,3,22,2648,2754,668,1620,2788,782,1102,825,72,643,433,82,7,2,1,0.001,11
3,7732,6561,9842,14472,6596,9480,54683,50,4,1,52,6,1,34,2716,2698,646,1590,4295,778,1054,828,65,647,453,69,9,8,1,0.003,17
4,7825,6661,9956,14611,6700,9497,55250,83,8,3,87,13,5,50,2676,2787,673,1705,5750,792,1084,844,63,671,466,89,10,4,1,0.001,25
5,7929,6781,9932,14748,6728,9706,55824,116,16,6,125,18,14,63,2728,2820,668,1728,7244,792,1145,880,56,680,443,71,16,4,1,0.001,26
6,8126,6663,10209,14895,6871,9774,56538,167,25,8,175,29,12,78,5525,5607,1263,3491,8770,1602,2250,1705,134,1385,888,147,34,11,1,0.002,46
7,8123,6930,10504,15139,6948,9943,57587,224,38,10,240,48,18,106,8344,8504,1965,5257,10263,2441,3340,2523,203,2100,1345,241,61,19,1,0.002,44
8,8251,7116,10627,15470,7042,9980,58486,294,69,17,313,75,27,143,11189,11421,2661,7073,11766,3314,4545,3449,274,2810,1812,326,104,32,1,0.002,48
9,8530,7167,10889,15726,7014,10411,59737,381,92,20,398,97,30,145,14104,14437,3363,8895,13336,4228,5685,4381,348,3542,2299,414,157,53,1,0.003,51
10,8638,7285,10848,15878,7384,10498,60531,457,121,28,471,133,37,148,17088,17478,4086,10678,14953,5121,6844,5314,418,4273,2772,529,202,72,1,0.004,65
1,7399,6338,9611,13989,6441,9060,52838,5,4,1,10,4,4,18,2572,2617,684,1593,1420,719,1046,805,67,639,441,83,5,2,1,0.001,8
2,7560,6427,9685,14327,6439,9252,53690,22,4,1,22,4,2,18,2642,2606,666,1670,2841,776,1060,780,57,664,407,95,6,1,1,0,9
3,7762,6453,9749,14447,6517,9460,54388,49,13,1,52,15,5,45,2671,2672,617,1682,4287,813,1093,806,69,682,441,85,13,4,1,0.001,23
4,7872,6622,9985,14508,6674,9491,55152,93,27,5,97,31,11,76,2698,2766,691,1743,5752,815,1068,852,72,674,431,59,15,9,1,0.003,27
5,7954,6744,10013,14560,6688,9609,55568,152,32,7,162,40,10,87,2707,2848,690,1724,7213,804,1088,821,72,717,428,66,27,8,1,0.003,28
6,8086,6798,10091,14702,6797,9643,56117,223,42,17,233,51,22,115,5480,5698,1358,3412,8742,1593,2205,1678,124,1370,908,160,59,22,1,0.003,45
7,8200,6911,10090,14835,6775,9778,56589,294,61,22,310,67,36,131,8308,8635,2030,5056,10277,2449,3333,2525,184,2045,1345,244,101,40,1,0.004,52
8,8268,6796,10246,15120,6885,9997,57312,412,77,28,434,84,40,181,11100,11523,2694,6857,11795,3308,4407,3385,258,2802,1767,332,151,56,1,0.004,73
9,8252,6867,10427,15344,7104,10076,58070,572,98,36,610,113,53,259,14003,14361,3380,8679,13343,4178,5567,4232,334,3506,2239,417,216,82,1,0.005,100
10,8210,7071,10532,15463,7133,10260,58669,727,127,56,772,145,75,286,16746,17284,4075,10460,14911,5041,6677,5106,409,4210,2714,513,288,109,1,0.006,112
1,7501,6374,9588,14015,6444,9170,53092,10,0,2,14,1,6,21,2595,2706,627,1660,1398,752,1074,800,60,659,435,84,5,4,1,0.001,7
2,7592,6502,9776,14221,6477,9173,53741,17,2,2,18,3,3,12,2664,2768,671,1671,2786,857,1036,792,63,663,407,67,6,2,1,0.001,6
3,7696,6542,9572,14291,6388,9493,53982,19,2,2,19,3,2,3,2652,2747,603,1631,4165,828,1028,837,47,674,390,93,1,0,1,0,2
4,7816,6514,9842,14300,6672,9282,54426,19,2,2,19,2,2,0,2701,2664,662,1604,5587,784,1067,808,80,629,420,87,0,0,1,0,0
5,7932,6622,9899,14571,6600,9530,55154,19,2,2,19,2,2,0,2683,2730,653,1726,7036,835,1076,868,59,683,435,89,0,0,1,0,0
6,8142,6661,9996,14605,6689,9611,55704,19,2,2,19,2,2,0,5483,5468,1303,3393,8498,1629,2226,1711,117,1363,852,165,0,0,1,0,0
7,8178,6698,10132,14979,6847,9687,56521,19,2,2,19,2,2,0,8340,8206,1958,5079,10007,2446,3381,2515,181,2058,1296,262,0,0,1,0,0
8,8190,6833,10430,15078,6830,9847,57208,19,2,2,19,2,2,0,11252,11063,2634,6868,11485,3304,4532,3349,236,2763,1746,347,0,0,1,0,0
9,8294,7029,10457,15259,6864,9860,57763,19,2,2,19,2,2,0,14161,13975,3321,8624,12950,4152,5721,4256,298,3454,2178,432,0,0,1,0,0
10,8414,6993,10590,15453,6999,10209,58658,19,2,2,19,2,2,0,17033,16829,4047,10373,14532,5041,6861,5125,371,4172,2668,530,0,0,1,0,0
1,7465,6457,9414,14001,6434,9097,52868,13,0,2,18,2,4,24,2619,2624,641,1623,1375,804,1070,766,71,640,409,82,3,1,1,0,14
2,7683,6302,9659,14314,6391,9384,53733,36,2,6,39,4,8,36,2583,2579,648,1657,2840,780,1063,816,77,653,424,84,11,4,1,0.001,17
3,7851,6545,9717,14347,6618,9415,54493,64,6,6,68,9,9,42,2731,2649,638,1728,4344,788,1118,751,64,663,456,84,11,4,1,0.001,18
4,8010,6562,9900,14612,6614,9656,55354,93,11,7,100,17,13,54,2768,2733,711,1654,5824,814,1110,767,70,642,476,74,22,8,1,0.003,18
5,8008,6706,10151,14734,6901,9600,56100,123,27,11,135,31,17,72,2730,2836,642,1669,7352,832,1094,845,58,639,463,89,20,6,1,0.002,29
6,8147,6923,10348,15069,6786,9864,57137,164,39,13,175,44,17,75,5542,5741,1290,3417,8932,1667,2261,1729,139,1363,951,159,44,18,1,0.003,36
7,8336,7044,10325,15150,7025,10064,57944,214,46,19,230,48,26,88,8411,8646,2000,5173,10506,2502,3411,2624,210,2043,1437,231,73,33,1,0.003,36
8,8523,7019,10572,15281,7084,10018,58497,286,65,27,303,72,41,137,11316,11576,2691,6955,11987,3346,4570,3527,278,2746,1898,305,97,46,1,0.003,58
9,8618,7141,10651,15694,7103,10178,59385,393,93,45,411,108,55,196,14255,14534,3397,8831,13578,4158,5749,4410,351,3508,2345,395,147,66,1,0.004,79
10,8725,7220,10709,15751,7234,10317,59956,533,138,61,568,158,87,282,17353,17525,4102,10679,15201,5010,6979,5302,420,4257,2825,481,230,95,1,0.005,110
1,7464,6317,9498,13912,6449,8975,52615,8,2,1,14,2,1,17,2588,2607,622,1582,1372,791,1013,764,64,639,385,72,7,2,1,0.001,6
2,7651,6389,9743,14302,6287,9334,53706,21,3,3,22,4,4,19,2657,2651,646,1587,2780,757,1042,779,70,642,393,86,6,2,1,0.001,6
3,7757,6628,9736,14280,6629,9398,54428,41,3,3,43,4,4,24,2770,2801,677,1619,4213,789,1093,836,65,626,448,77,6,2,1,0.001,11
4,7829,6573,9892,14511,6672,9487,54964,60,7,5,63,12,5,33,2678,2659,674,1656,5702,825,1067,822,69,683,463,84,8,2,1,0.001,14
5,8069,6651,10109,14708,6680,9575,55792,96,7,7,103,9,12,52,2769,2719,663,1657,7148,791,1123,843,57,661,439,78,12,3,1,0.001,22
